signal_name,module_name,fanin,fanout,signal_width,op_type,op_complexity,nesting_depth,operation_count,has_mul,has_add,in_loop,is_registered,module_input_count,conditional_mux_count,actual_depth,source_file
result,simple_alu_4bit,2,1,4,ADD,6,1,1,0,1,0,0,2,4,7,simple_alu_4bit.v
zero,simple_alu_4bit,2,0,1,OTHER,3,1,0,0,0,0,0,2,0,6,simple_alu_4bit.v
result,simple_alu_8bit,2,2,8,AND,1,1,1,0,0,0,0,2,8,4,simple_alu_8bit.v
carry,simple_alu_8bit,1,0,1,OTHER,3,1,0,0,0,0,0,2,8,6,simple_alu_8bit.v
diff,subtractor_8bit,1,0,8,OTHER,3,0,0,0,0,0,0,2,0,4,subtractor_8bit.v
bout,subtractor_8bit,1,0,1,OTHER,3,0,0,0,0,0,0,2,0,4,subtractor_8bit.v
binary,thermometer_decoder_4bit,1,0,2,OTHER,3,1,0,0,0,0,0,1,5,6,thermometer_decoder_4bit.v
light_ns,traffic_light_fsm,1,0,2,OTHER,3,1,0,0,0,0,0,2,0,6,traffic_light_fsm.v
out,twos_complement_8bit,1,0,8,OTHER,3,0,0,0,0,0,0,1,0,4,twos_complement_8bit.v
overflow,twos_complement_8bit,1,0,1,OTHER,3,0,0,0,0,0,0,1,0,4,twos_complement_8bit.v
